campaign_id,sentiment,word,count
393076,negative,가격은,2
393076,negative,좋은데,2
393076,negative,배송이,2
393076,negative,늦을까봐,2
393076,negative,걱정됩니다,2
393076,negative,15199110,1
393076,negative,옵션,1
393076,negative,구성이,1
393076,negative,복잡합니다,1
393076,positive,디자인도,6
393076,positive,예쁘고,6
393076,positive,실용적이라,6
393076,positive,선물용으로도,6
393076,positive,좋을,6
393076,positive,구성이,3
393076,positive,알차고,3
393076,positive,상세페이지,3
393076,positive,설명이,3
393076,positive,이해하기,3
393076,positive,쉬워요,3
393076,positive,가격이,2
393076,positive,좋아서,2
393076,positive,얼리버드로,2
393076,positive,참여했습니다,2
393076,positive,후기가,2
393076,positive,좋아,2
393076,positive,보여서,2
393076,positive,믿고,2
393076,positive,펀딩합니다,2
393076,positive,15990021,1
393076,positive,15168756,1
393076,positive,15913121,1
393076,positive,첫째,1
393076,positive,때도,1
393076,positive,써서,1
393076,positive,이번에도,1
393076,positive,추가로,1
393076,positive,구매했어요,1
393076,positive,오픈,1
393076,positive,전부터,1
393076,positive,기다렸어요,1
393076,positive,펀딩했습니다,1
393076,positive,기대돼요,1
393082,positive,첫째,3
393082,positive,때도,3
393082,positive,써서,3
393082,positive,이번에도,3
393082,positive,추가로,3
393082,positive,구매했어요,3
393082,positive,오픈,2
393082,positive,전부터,2
393082,positive,기다렸어요,2
393082,positive,펀딩했습니다,2
393082,positive,기대돼요,2
393082,positive,배송만,2
393082,positive,빠르면,2
393082,positive,만족스러울,2
393082,positive,후기가,2
393082,positive,좋아,2
393082,positive,보여서,2
393082,positive,믿고,2
393082,positive,펀딩합니다,2
393082,positive,구성이,2
393082,positive,알차고,2
393082,positive,상세페이지,2
393082,positive,설명이,2
393082,positive,이해하기,2
393082,positive,쉬워요,2
393082,positive,디자인도,2
393082,positive,예쁘고,2
393082,positive,실용적이라,2
393082,positive,선물용으로도,2
393082,positive,좋을,2
393082,positive,15624198,1
393082,positive,가격이,1
393082,positive,좋아서,1
393082,positive,얼리버드로,1
393082,positive,참여했습니다,1
393082,positive,15106601,1
393157,negative,비슷한,2
393157,negative,제품보다,2
393157,negative,차별점이,2
393157,negative,명확했으면,2
393157,negative,좋겠어요,2
393157,negative,상세,1
393157,negative,설명이,1
393157,negative,부족해서,1
393157,negative,결정을,1
393157,negative,망설이고,1
393157,negative,가격은,1
393157,negative,좋은데,1
393157,negative,배송이,1
393157,negative,늦을까봐,1
393157,negative,걱정됩니다,1
393157,negative,15776324,1
393157,positive,디자인도,4
393157,positive,예쁘고,4
393157,positive,실용적이라,4
393157,positive,선물용으로도,4
393157,positive,좋을,4
393157,positive,배송만,3
393157,positive,빠르면,3
393157,positive,만족스러울,3
393157,positive,후기가,3
393157,positive,좋아,3
393157,positive,보여서,3
393157,positive,믿고,3
393157,positive,펀딩합니다,3
393157,positive,오픈,3
393157,positive,전부터,3
393157,positive,기다렸어요,3
393157,positive,펀딩했습니다,3
393157,positive,기대돼요,3
393157,positive,첫째,2
393157,positive,때도,2
393157,positive,써서,2
393157,positive,이번에도,2
393157,positive,추가로,2
393157,positive,구매했어요,2
393157,positive,구성이,1
393157,positive,알차고,1
393157,positive,상세페이지,1
393157,positive,설명이,1
393157,positive,이해하기,1
393157,positive,쉬워요,1
393157,positive,15439693,1
393157,positive,가격이,1
393157,positive,좋아서,1
393157,positive,얼리버드로,1
393157,positive,참여했습니다,1
393166,negative,비슷한,1
393166,negative,제품보다,1
393166,negative,차별점이,1
393166,negative,명확했으면,1
393166,negative,좋겠어요,1
393166,positive,후기가,2
393166,positive,좋아,2
393166,positive,보여서,2
393166,positive,믿고,2
393166,positive,펀딩합니다,2
393166,positive,오픈,1
393166,positive,전부터,1
393166,positive,기다렸어요,1
393166,positive,펀딩했습니다,1
393166,positive,기대돼요,1
393166,positive,15922062,1
393166,positive,디자인도,1
393166,positive,예쁘고,1
393166,positive,실용적이라,1
393166,positive,선물용으로도,1
393166,positive,좋을,1
393266,negative,상세,1
393266,negative,설명이,1
393266,negative,부족해서,1
393266,negative,결정을,1
393266,negative,망설이고,1
393266,positive,15556636,1
393266,positive,구성이,1
393266,positive,알차고,1
393266,positive,상세페이지,1
393266,positive,설명이,1
393266,positive,이해하기,1
393266,positive,쉬워요,1
393266,positive,오픈,1
393266,positive,전부터,1
393266,positive,기다렸어요,1
393266,positive,펀딩했습니다,1
393266,positive,기대돼요,1
393266,positive,디자인도,1
393266,positive,예쁘고,1
393266,positive,실용적이라,1
393266,positive,선물용으로도,1
393266,positive,좋을,1
393266,positive,배송만,1
393266,positive,빠르면,1
393266,positive,만족스러울,1
393292,negative,상세,4
393292,negative,설명이,4
393292,negative,부족해서,4
393292,negative,결정을,4
393292,negative,망설이고,4
393292,negative,비슷한,2
393292,negative,제품보다,2
393292,negative,차별점이,2
393292,negative,명확했으면,2
393292,negative,좋겠어요,2
393292,negative,가격은,2
393292,negative,좋은데,2
393292,negative,배송이,2
393292,negative,늦을까봐,2
393292,negative,걱정됩니다,2
393292,negative,이전,2
393292,negative,답변이,2
393292,negative,늦어서,2
393292,negative,아쉬웠습니다,2
393292,negative,옵션,1
393292,negative,구성이,1
393292,negative,복잡합니다,1
393292,negative,15234451,1
393292,positive,구성이,7
393292,positive,알차고,7
393292,positive,상세페이지,7
393292,positive,설명이,7
393292,positive,이해하기,7
393292,positive,쉬워요,7
393292,positive,배송만,6
393292,positive,빠르면,6
393292,positive,만족스러울,6
393292,positive,오픈,6
393292,positive,전부터,6
393292,positive,기다렸어요,6
393292,positive,펀딩했습니다,6
393292,positive,기대돼요,6
393292,positive,후기가,5
393292,positive,좋아,5
393292,positive,보여서,5
393292,positive,믿고,5
393292,positive,펀딩합니다,5
393292,positive,가격이,4
393292,positive,좋아서,4
393292,positive,얼리버드로,4
393292,positive,참여했습니다,4
393292,positive,디자인도,3
393292,positive,예쁘고,3
