comment_id,campaign_id,user_id_hash,board_id,depth,common_id,body,comment_type,sentiment_label,when_created,deleted,parent_board_id,nick_name,user_status,photo_url,has_reply,reply_count,image_count,reaction_count,has_membership,maker,owner,support,status
c_00000001,399800,u_a86a8a3c5798,4800001,0,399800,첫째 때도 잘 써서 이번에도 추가로 구매했어요,SUPPORT,positive,2026-04-05 19:57:17,False,,익명의 서포터 9158,NM,https://demo-static.example.invalid/assets/icon/profile-icon-3.png,True,1,0,0,False,False,False,False,success
c_00000002,399800,u_bf4becd20218,4800002,0,399800,첫째 때도 잘 써서 이번에도 추가로 구매했어요,SUPPORT,positive,2026-04-10 07:45:14,False,,익명의 서포터 2210,NM,https://demo-static.example.invalid/assets/icon/profile-icon-5.png,False,0,0,0,True,False,False,True,success
c_00000003,399800,u_930113cd9ea2,4800003,1,399800,디자인도 예쁘고 실용적이라 선물용으로도 좋을 것 같아요,SUPPORT,positive,2026-04-17 15:34:35,False,4800001,익명의 서포터 8249,NM,https://demo-static.example.invalid/assets/icon/profile-icon-5.png,False,0,0,3,True,False,False,True,success
c_00000004,399800,u_9148bd91b006,4800004,0,399800,옵션 변경은 어디에서 가능한가요?,QUESTION,neutral,2026-04-01 16:52:46,False,,익명의 서포터 8530,NM,https://demo-static.example.invalid/assets/icon/profile-icon-1.png,True,1,0,0,False,False,False,True,success
c_00000005,399800,u_d4c98eb51d54,4800005,0,399800,오픈 전부터 기다렸어요! 바로 펀딩했습니다. 기대돼요,SUPPORT,positive,2026-04-06 13:29:31,False,,익명의 서포터 8789,NM,https://demo-static.example.invalid/assets/icon/profile-icon-1.png,True,2,0,1,False,False,False,False,success
c_00000006,399800,u_cdabf3e11d31,4800006,0,399800,15028008 구성품에 케이스도 포함되어 있나요?,QUESTION,neutral,2026-04-04 05:50:21,False,,익명의 서포터 7945,NM,https://demo-static.example.invalid/assets/icon/profile-icon-1.png,True,1,0,1,True,False,False,True,success
c_00000007,399800,u_3303ea1b1d8d,4800007,0,399800,15190162 구성이 알차고 상세페이지 설명이 이해하기 쉬워요,SUPPORT,positive,2026-03-29 08:09:15,False,,익명의 서포터 3486,NM,https://demo-static.example.invalid/assets/icon/profile-icon-2.png,False,0,0,3,False,False,False,True,success
c_00000008,399800,u_bf05a87a370c,4800008,1,399800,오픈 전부터 기다렸어요! 바로 펀딩했습니다. 기대돼요,SUPPORT,positive,2026-03-28 23:04:58,False,4800001,익명의 서포터 8860,NM,https://demo-static.example.invalid/assets/icon/profile-icon-4.png,False,0,0,0,False,False,False,True,success
c_00000009,399800,u_cbb6ddb8ef76,4800009,0,399800,오픈 전부터 기다렸어요! 바로 펀딩했습니다. 기대돼요,SUPPORT,positive,2026-03-28 22:16:07,False,,익명의 서포터 6359,NM,https://demo-static.example.invalid/assets/icon/profile-icon-2.png,True,2,0,0,True,False,False,True,success
c_00000010,399800,u_04fb8b07834d,4800010,0,399800,후기가 좋아 보여서 믿고 펀딩합니다,SUPPORT,positive,2026-04-15 14:55:53,False,,익명의 서포터 8279,NM,https://demo-static.example.invalid/assets/icon/profile-icon-4.png,False,0,0,1,False,False,False,False,success
c_00000011,399800,u_2539f2516fb9,4800011,0,399800,첫째 때도 잘 써서 이번에도 추가로 구매했어요,TALK,positive,2026-04-06 21:44:11,False,,익명의 서포터 6351,NM,https://demo-static.example.invalid/assets/icon/profile-icon-5.png,True,3,0,0,False,False,False,True,success
c_00000012,399800,u_00a7677565fd,4800012,0,399800,사이즈 정보가 조금 더 자세히 있으면 좋겠습니다,QUESTION,neutral,2026-04-09 03:49:26,False,,익명의 서포터 2868,NM,https://demo-static.example.invalid/assets/icon/profile-icon-1.png,True,0,0,1,False,False,False,True,success
