wish_id,user_id_hash,campaign_id,title,maker_name,thumbnail,achievement_rate,amount,remaining_day,product_type,landing_url,cust_value_code_nm,collected_at,status
w_00000001,u_1d94865c2e27,402294,선물하기 좋은 프리미엄 컴팩트 디저트 세트,스튜디오 리빙온,https://demo-assets.example.invalid/studio/images/2026/04/402294.jpeg,1852,0,36,PREORDER,/web/campaign/detail/402294,푸드,2026-05-10T09:32:15,success
w_00000002,u_c393e9bd3f6a,398244,출근길 배터리 걱정 없는 초경량 미니 보조배터리,두이즈,https://demo-assets.example.invalid/studio/images/2026/04/398244.jpeg,999,0,12,PREORDER,/web/campaign/detail/398244,주변기기,2026-05-03T05:14:45,success
w_00000003,u_416be6d44813,399317,"축축한 욕실 이제 안녕, 초강력 시그니처 욕실템",주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/399317.jpeg,1074,0,-12,PREORDER,/web/campaign/detail/399317,홈리빙,2026-04-03T03:08:20,success
w_00000004,u_5e8de449565e,399126,정선 사북의 특별한 이야기를 담은 초경량 베이커리,주식회사 포근,https://demo-assets.example.invalid/studio/images/2026/04/399126.jpeg,572,0,-5,PREORDER,/web/campaign/detail/399126,푸드,2026-04-28T10:31:54,success
w_00000005,u_7b2099c99dc2,399126,정선 사북의 특별한 이야기를 담은 초경량 베이커리,주식회사 포근,https://demo-assets.example.invalid/studio/images/2026/04/399126.jpeg,572,0,-5,PREORDER,/web/campaign/detail/399126,푸드,2026-04-15T04:29:25,success
w_00000006,u_8ccb1796daaf,397451,"축축한 욕실 이제 안녕, 초강력 프로 욕실템",주식회사 포근,https://demo-assets.example.invalid/studio/images/2026/04/397451.jpeg,737,0,10,PREORDER,/web/campaign/detail/397451,홈리빙,2026-05-10T22:48:36,success
w_00000007,u_fafaa9f30ebb,393292,반려동물 털 걱정을 줄이는 올인원 클리너,주식회사 루미에르,https://demo-assets.example.invalid/studio/images/2026/04/393292.jpeg,1224,0,-11,PREORDER,/web/campaign/detail/393292,반려동물,2026-04-03T09:01:52,success
w_00000008,u_21d951c616ad,397808,산책이 편해지는 초경량 스마트 리드줄,메이커 제로랩,https://demo-assets.example.invalid/studio/images/2026/04/397808.jpeg,646,0,13,REWARD,/web/campaign/detail/397808,반려동물,2026-04-24T07:51:52,success
w_00000009,u_8e4c96384519,393292,반려동물 털 걱정을 줄이는 올인원 클리너,주식회사 루미에르,https://demo-assets.example.invalid/studio/images/2026/04/393292.jpeg,1224,0,-11,PREORDER,/web/campaign/detail/393292,반려동물,2026-04-09T08:06:14,success
w_00000010,u_cfe00df9db85,402190,13층 깊은 보습에 피부 열감까지 내리는 프로 크림,브랜드 사북상회,https://demo-assets.example.invalid/studio/images/2026/04/402190.jpeg,1033,0,-3,REWARD,/web/campaign/detail/402190,스킨케어,2026-05-03T16:34:49,success
w_00000011,u_344b57c48961,397451,"축축한 욕실 이제 안녕, 초강력 프로 욕실템",주식회사 포근,https://demo-assets.example.invalid/studio/images/2026/04/397451.jpeg,737,0,10,PREORDER,/web/campaign/detail/397451,홈리빙,2026-04-30T09:27:45,success
w_00000012,u_d6c2cba8224c,393292,반려동물 털 걱정을 줄이는 올인원 클리너,주식회사 루미에르,https://demo-assets.example.invalid/studio/images/2026/04/393292.jpeg,1224,0,-11,PREORDER,/web/campaign/detail/393292,반려동물,2026-04-03T17:53:53,success
w_00000013,u_61bc564a4ca3,400387,초보자를 위한 친절한 하이브리드 가이드북,주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/400387.jpeg,192,0,-2,PREORDER,/web/campaign/detail/400387,출판,2026-05-06T03:17:37,success
w_00000014,u_6f0038ae9f8a,396873,집에서도 가능한 컴팩트 하이브리드 트레이닝 세트,메이커 사북상회,https://demo-assets.example.invalid/studio/images/2026/04/396873.jpeg,578,0,-12,PREORDER,/web/campaign/detail/396873,스포츠·모빌리티,2026-04-23T07:00:47,success
w_00000015,u_436d618b2aac,398782,"오픈형이지만 몰입은 깊게, 노이즈캔슬링 데일리",유열,https://demo-assets.example.invalid/studio/images/2026/04/398782.jpeg,547,0,22,PREORDER,/web/campaign/detail/398782,테크·가전,2026-05-08T13:57:58,success
w_00000016,u_90cd30d796bc,397451,"축축한 욕실 이제 안녕, 초강력 프로 욕실템",주식회사 포근,https://demo-assets.example.invalid/studio/images/2026/04/397451.jpeg,737,0,10,PREORDER,/web/campaign/detail/397451,홈리빙,2026-04-30T07:32:07,success
w_00000017,u_aee255e7a950,397483,가볍게 떠나는 주말 캠핑용 프리미엄 세트,주식회사 온하루,https://demo-assets.example.invalid/studio/images/2026/04/397483.jpeg,866,0,4,REWARD,/web/campaign/detail/397483,여행·레저,2026-04-29T14:36:46,success
w_00000018,u_1dc149be901c,400992,"보이지 않는 바람의 차이, 공간까지 시원한 미니 선풍기",브랜드 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/400992.jpeg,260,0,15,REWARD,/web/campaign/detail/400992,테크·가전,2026-05-10T10:03:26,success
w_00000019,u_7240e9f2339f,393292,반려동물 털 걱정을 줄이는 올인원 클리너,주식회사 루미에르,https://demo-assets.example.invalid/studio/images/2026/04/393292.jpeg,1224,0,-11,PREORDER,/web/campaign/detail/393292,반려동물,2026-04-27T13:09:15,success
w_00000020,u_0ab177c760d5,397808,산책이 편해지는 초경량 스마트 리드줄,메이커 제로랩,https://demo-assets.example.invalid/studio/images/2026/04/397808.jpeg,646,0,13,REWARD,/web/campaign/detail/397808,반려동물,2026-05-02T21:03:11,success
w_00000021,u_a2b58557e9b2,398616,꽂는 순간 숫자로 보이는 충전 속도ㅣ미니 LED 케이블,브랜드 온하루,https://demo-assets.example.invalid/studio/images/2026/04/398616.jpeg,1097,0,-6,PREORDER,/web/campaign/detail/398616,주변기기,2026-04-28T16:45:46,success
w_00000022,u_7264042cbd5d,395803,물끓임 필요 없는 셀프히팅 바이브 머신,스튜디오 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/395803.jpeg,152,0,10,PREORDER,/web/campaign/detail/395803,테크·가전,2026-05-09T10:48:59,success
w_00000023,u_ffcfe5f732db,399714,꽂는 순간 숫자로 보이는 충전 속도ㅣ리얼 LED 케이블,주식회사 아이무드,https://demo-assets.example.invalid/studio/images/2026/04/399714.jpeg,1088,0,-8,REWARD,/web/campaign/detail/399714,주변기기,2026-04-28T11:09:54,success
w_00000024,u_be077b1a4d23,397605,피부의 기초 상태를 바꾸는 스마트 앰플+크림세트,주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/397605.jpeg,967,0,-13,REWARD,/web/campaign/detail/397605,스킨케어,2026-03-29T00:05:51,success
w_00000025,u_8ae3f8201f94,400387,초보자를 위한 친절한 하이브리드 가이드북,주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/400387.jpeg,192,0,-2,PREORDER,/web/campaign/detail/400387,출판,2026-05-08T11:26:08,success
w_00000026,u_cf340bff9de7,397808,산책이 편해지는 초경량 스마트 리드줄,메이커 제로랩,https://demo-assets.example.invalid/studio/images/2026/04/397808.jpeg,646,0,13,REWARD,/web/campaign/detail/397808,반려동물,2026-04-30T12:50:57,success
w_00000027,u_d398f02cffca,399317,"축축한 욕실 이제 안녕, 초강력 시그니처 욕실템",주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/399317.jpeg,1074,0,-12,PREORDER,/web/campaign/detail/399317,홈리빙,2026-04-06T17:31:03,success
w_00000028,u_f11eb98cba31,398196,공간 분위기를 바꾸는 호텔식 초경량 조명,스튜디오 무딕스,https://demo-assets.example.invalid/studio/images/2026/04/398196.jpeg,20,0,-30,PREORDER,/web/campaign/detail/398196,홈리빙,2026-03-29T07:22:01,success
w_00000029,u_04b2ee75b615,401953,"보이지 않는 바람의 차이, 공간까지 시원한 바이브 선풍기",메이커 두이즈,https://demo-assets.example.invalid/studio/images/2026/04/401953.jpeg,175,0,-25,PREORDER,/web/campaign/detail/401953,테크·가전,2026-04-04T01:33:36,success
w_00000030,u_8bff5a6351d8,399317,"축축한 욕실 이제 안녕, 초강력 시그니처 욕실템",주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/399317.jpeg,1074,0,-12,PREORDER,/web/campaign/detail/399317,홈리빙,2026-04-05T08:05:10,success
w_00000031,u_312b5a765826,399559,노트북 책상을 깔끔하게 만드는 리얼 멀티 허브,포근,https://demo-assets.example.invalid/studio/images/2026/04/399559.jpeg,197,0,7,PREORDER,/web/campaign/detail/399559,주변기기,2026-05-10T04:09:33,success
w_00000032,u_ccc1a351e212,393553,예민한 피부도 매일 쓰는 저자극 감성 세럼,메이커 무딕스,https://demo-assets.example.invalid/studio/images/2026/04/393553.jpeg,115,0,5,REWARD,/web/campaign/detail/393553,스킨케어,2026-05-03T04:14:22,success
w_00000033,u_542d08813e94,400387,초보자를 위한 친절한 하이브리드 가이드북,주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/400387.jpeg,192,0,-2,PREORDER,/web/campaign/detail/400387,출판,2026-04-26T19:14:47,success
w_00000034,u_74bff53cd750,397496,하루 10분으로 시작하는 실전 프리미엄 노트,브랜드 온하루,https://demo-assets.example.invalid/studio/images/2026/04/397496.jpeg,343,0,-3,PREORDER,/web/campaign/detail/397496,출판,2026-04-27T14:55:59,success
w_00000035,u_44ef1529f843,400387,초보자를 위한 친절한 하이브리드 가이드북,주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/400387.jpeg,192,0,-2,PREORDER,/web/campaign/detail/400387,출판,2026-05-07T08:08:46,success
w_00000036,u_b5ffb0bce28a,397483,가볍게 떠나는 주말 캠핑용 프리미엄 세트,주식회사 온하루,https://demo-assets.example.invalid/studio/images/2026/04/397483.jpeg,866,0,4,REWARD,/web/campaign/detail/397483,여행·레저,2026-05-05T01:17:22,success
w_00000037,u_3a5ba42ba05b,394762,아이의 수면 루틴을 돕는 올인원 침구,주식회사 유열,https://demo-assets.example.invalid/studio/images/2026/04/394762.jpeg,435,0,4,PREORDER,/web/campaign/detail/394762,유아·키즈,2026-05-08T02:31:54,success
w_00000038,u_464b83ad84c5,397451,"축축한 욕실 이제 안녕, 초강력 프로 욕실템",주식회사 포근,https://demo-assets.example.invalid/studio/images/2026/04/397451.jpeg,737,0,10,PREORDER,/web/campaign/detail/397451,홈리빙,2026-04-30T01:10:51,success
w_00000039,u_ead150ada93d,399317,"축축한 욕실 이제 안녕, 초강력 시그니처 욕실템",주식회사 로컬랩,https://demo-assets.example.invalid/studio/images/2026/04/399317.jpeg,1074,0,-12,PREORDER,/web/campaign/detail/399317,홈리빙,2026-04-18T00:28:53,success
w_00000040,u_ccc1a351e212,395639,첫째도 둘째도 쓰는 엄마 추천 미니,메이커 루미에르,https://demo-assets.example.invalid/studio/images/2026/04/395639.jpeg,127,0,-25,REWARD,/web/campaign/detail/395639,유아·키즈,2026-04-11T00:00:50,success
w_00000041,u_8867bbef2843,393606,아이의 수면 루틴을 돕는 시그니처 침구,주식회사 유열,https://demo-assets.example.invalid/studio/images/2026/04/393606.jpeg,947,0,19,PREORDER,/web/campaign/detail/393606,유아·키즈,2026-04-28T19:16:37,success
w_00000042,u_e8ea944c9289,399436,러닝 입문자를 위한 스마트 미니 밴드,스튜디오 브레바,https://demo-assets.example.invalid/studio/images/2026/04/399436.jpeg,38,0,-16,PREORDER,/web/campaign/detail/399436,스포츠·모빌리티,2026-04-17T20:02:31,success
w_00000043,u_e8c86b2d9cbf,393292,반려동물 털 걱정을 줄이는 올인원 클리너,주식회사 루미에르,https://demo-assets.example.invalid/studio/images/2026/04/393292.jpeg,1224,0,-11,PREORDER,/web/campaign/detail/393292,반려동물,2026-04-08T14:17:30,success
w_00000044,u_4c0d6479c6b4,397483,가볍게 떠나는 주말 캠핑용 프리미엄 세트,주식회사 온하루,https://demo-assets.example.invalid/studio/images/2026/04/397483.jpeg,866,0,4,REWARD,/web/campaign/detail/397483,여행·레저,2026-05-06T06:03:01,success
w_00000045,u_7bb12ed34858,402626,출근길 배터리 걱정 없는 초경량 에센셜 보조배터리,주식회사 온하루,https://demo-assets.example.invalid/studio/images/2026/04/402626.jpeg,22,0,46,PREORDER,/web/campaign/detail/402626,주변기기,2026-04-29T04:43:54,success
w_00000046,u_abe0211e02c8,397451,"축축한 욕실 이제 안녕, 초강력 프로 욕실템",주식회사 포근,https://demo-assets.example.invalid/studio/images/2026/04/397451.jpeg,737,0,10,PREORDER,/web/campaign/detail/397451,홈리빙,2026-05-06T16:43:41,success
w_00000047,u_606a24340a63,393606,아이의 수면 루틴을 돕는 시그니처 침구,주식회사 유열,https://demo-assets.example.invalid/studio/images/2026/04/393606.jpeg,947,0,19,PREORDER,/web/campaign/detail/393606,유아·키즈,2026-05-07T19:43:31,success
w_00000048,u_1546db9254b2,402035,반려동물 털 걱정을 줄이는 바이브 클리너,주식회사 리디아,https://demo-assets.example.invalid/studio/images/2026/04/402035.jpeg,448,0,-27,PREORDER,/web/campaign/detail/402035,반려동물,2026-03-31T06:53:08,success
w_00000049,u_1e9100346f15,402403,"전 객실 오션뷰 감성 숙소, 컴팩트 카라반 패키지",메이커 메디비티,https://demo-assets.example.invalid/studio/images/2026/04/402403.jpeg,146,0,16,PREORDER,/web/campaign/detail/402403,여행·레저,2026-05-07T13:27:39,success
w_00000050,u_97f9f05f95a8,397451,"축축한 욕실 이제 안녕, 초강력 프로 욕실템",주식회사 포근,https://demo-assets.example.invalid/studio/images/2026/04/397451.jpeg,737,0,10,PREORDER,/web/campaign/detail/397451,홈리빙,2026-05-08T18:31:46,success
w_00000051,u_e5ba85f9d33d,399714,꽂는 순간 숫자로 보이는 충전 속도ㅣ리얼 LED 케이블,주식회사 아이무드,https://demo-assets.example.invalid/studio/images/2026/04/399714.jpeg,1088,0,-8,REWARD,/web/campaign/detail/399714,주변기기,2026-04-25T21:43:07,success
w_00000052,u_697e4f6c6a6c,394762,아이의 수면 루틴을 돕는 올인원 침구,주식회사 유열,https://demo-assets.example.invalid/studio/images/2026/04/394762.jpeg,435,0,4,PREORDER,/web/campaign/detail/394762,유아·키즈,2026-05-01T03:44:46,success
